imdb_title_id,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,avg_vote,votes,reviews_from_users,reviews_from_critics,oscar_status
17739,Il castello degli spettri,The Cat and the Canary,1927.0,1929-07-15,"Comedy, Horror, Mystery",108.0,USA,English,Paul Leni,"John Willard, Robert F. Hill",Universal Pictures,"Laura La Plante, Creighton Hale, Forrest Stanley, Tully Marshall, Gertrude Astor, Flora Finch, Arthur Edmund Carewe, Martha Mattox, George Siegmann, Lucien Littlefield",7.1,2654.0,1,1,Snubbed
18379,Settimo cielo,7th Heaven,1927.0,1928-01-30,"Drama, Romance",110.0,USA,English,Frank Borzage,"Austin Strong, Benjamin Glazer",Frank Borzage Production,"Janet Gaynor, Charles Farrell, Albert Gran, David Butler, Marie Mosquini, Gladys Brockwell, Emile Chautard, Ben Bard, George E. Stone",7.6,3098.0,1,1,Nominee
18455,Aurora,Sunrise: A Song of Two Humans,1927.0,1928-03-31,"Drama, Romance",94.0,USA,English,F.W. Murnau,"Carl Mayer, Hermann Sudermann",Fox Film Corporation,"George O'Brien, Janet Gaynor, Margaret Livingston, Bodil Rosing, J. Farrell MacDonald, Ralph Sipperly, Jane Winton, Arthur Housman, Eddie Boland",8.1,46069.0,3,2,Snubbed
18578,Ali,Wings,1927.0,1929-01-05,"Drama, Romance, War",144.0,USA,English,"William A. Wellman, Harry d'Abbadie d'Arrast","John Monk Saunders, Hope Loring",Paramount Famous Lasky Corporation,"Clara Bow, Charles 'Buddy' Rogers, Richard Arlen, Jobyna Ralston, El Brendel, Richard Tucker, Gary Cooper, Gunboat Smith, Henry B. Walthall, Roscoe Karns, Julia Swayne Gordon, Arlette Marchal, Rod Rogers",7.5,11139.0,1,1,Winner
19304,The Racket,The Racket,1928.0,1928-11-01,"Crime, Drama, Film-Noir",84.0,USA,English,Lewis Milestone,"Bartlett Cormack, Bartlett Cormack",The Caddo Company,"Thomas Meighan, Louis Wolheim, Marie Prevost, G. Pat Collins, Henry Sedley, George E. Stone, Sam De Grasse, Richard 'Skeets' Gallagher, Lee Moran, John Darrow, Lucien Prival, Dan Wolheim",6.7,1099.0,1,1,Nominee
19630,Alibi,Alibi,1929.0,1929-04-20,Crime,91.0,USA,English,Roland West,"Roland West, C. Gardner Sullivan",Feature Productions,"Chester Morris, Harry Stubbs, Mae Busch, Eleanor Griffith, Irma Harrison, Regis Toomey, Al Hill, James Bradbury Jr., Elmer Ballard, Kernan Cripps, Purnell Pratt, Pat O'Malley, DeWitt Jennings, Ed Brady, Virginia Flohri",5.8,661.0,1,1,Nominee
19729,La canzone di Broadway,The Broadway Melody,1929.0,1929-06-06,"Drama, Musical, Romance",100.0,USA,English,Harry Beaumont,"Edmund Goulding, Norman Houston",Metro-Goldwyn-Mayer (MGM),"Charles King, Anita Page, Bessie Love",5.7,6327.0,1,1,Winner
19823,Disraeli,Disraeli,1929.0,1929-11-01,"Biography, Drama, History",90.0,USA,English,Alfred E. Green,Julien Josephson,Warner Bros.,"George Arliss, Doris Lloyd, David Torrence, Joan Bennett, Florence Arliss, Anthony Bushell, Michael Visaroff",6.2,1034.0,1,1,Nominee
19993,Hollywood che canta,The Hollywood Revue of 1929,1929.0,1929-11-23,"Comedy, Music",130.0,USA,English,"Charles Reisner, Christy Cabanne","Al Boasberg, Robert E. Hopkins",Metro-Goldwyn-Mayer (MGM),"Conrad Nagel, Jack Benny, John Gilbert, Norma Shearer, Joan Crawford, Bessie Love, Cliff Edwards, Stan Laurel, Oliver Hardy, Anita Page, Nils Asther, Brox Sisters, Natova and Company, Marion Davies, William Haines",5.9,1827.0,1,1,Nominee
20018,Notte di tradimento,In Old Arizona,1928.0,1929-01-20,"Action, Adventure, Romance",95.0,USA,"English, Spanish, Italian",Irving Cummings,"O. Henry, Tom Barry",Fox Film Corporation,"Edmund Lowe, Warner Baxter, Dorothy Burgess",5.5,898.0,1,1,Nominee
