Film,Year,Position,Edition,id_imdb,rate,rate_count,duration,genres,country,budget,gross
Wings,1927,Winner,1,0018578,7.5,11443.0,144.0,"[' Drama', ' Romance', ' War', ' Action']",['USA'],2000000.0,746.0
7th Heaven,1927,Nominee,1,0018379,7.6,3185.0,110.0,"[' Drama', ' Romance']",['USA'],1300000.0,
The Racket,1927,Nominee,1,0019304,6.7,1124.0,84.0,"[' Crime', ' Drama', ' Film-Noir']",['USA'],,
The Broadway Melody,1928,Winner,2,0019729,5.7,6478.0,100.0,"[' Drama', ' Musical', ' Romance']",['USA'],379000.0,
Alibi,1928,Nominee,2,0019630,5.8,689.0,91.0,[' Crime'],['USA'],,
Hollywood Revue,1928,Nominee,2,0019993,5.9,1837.0,118.0,"[' Comedy', ' Music']",['USA'],,5277780.0
In Old Arizona,1928,Nominee,2,0020018,5.5,920.0,95.0,[' Western'],['USA'],,
The Patriot,1928,Nominee,2,0019257,,,113.0,"[' Drama', ' History', ' Thriller']",['USA'],1000000.0,
All Quiet on the Western Front,1929,Winner,3,0020629,8.0,57231.0,152.0,"[' Drama', ' War']",['USA'],1200000.0,
The Big House,1929,Nominee,3,0020686,7.1,1877.0,87.0,"[' Crime', ' Drama', ' Thriller']",['USA'],414000.0,
Disraeli,1929,Nominee,3,0019823,6.1,1048.0,90.0,"[' Biography', ' Drama', ' History']",['USA'],,
The Divorcee,1929,Nominee,3,0020827,6.8,2770.0,84.0,"[' Romance', ' Drama']",['USA'],340691.0,
The Love Parade,1929,Nominee,3,0020112,7.1,1966.0,107.0,"[' Comedy', ' Musical', ' Romance']",['USA'],650000.0,
Cimarron,1930,Winner,4,0021746,5.9,5434.0,123.0,"[' Drama', ' Western']",['USA'],1433000.0,
East Lynne,1930,Nominee,4,0021826,6.0,145.0,102.0,"[' Drama', ' Romance']",['USA'],,
The Front Page,1930,Nominee,4,0021890,6.7,2466.0,101.0,"[' Comedy', ' Crime', ' Drama', ' Romance']",['USA'],,
Skippy,1930,Nominee,4,0022397,6.2,686.0,85.0,"[' Comedy', ' Drama', ' Family']",['USA'],,
Trader Horn,1930,Nominee,4,0022495,6.2,883.0,122.0,"[' Action', ' Adventure', ' Drama', ' Romance']",['USA'],1312636.0,
Grand Hotel,1931,Winner,5,0022958,7.4,17311.0,112.0,"[' Drama', ' Romance']",['USA'],700000.0,
Arrowsmith,1931,Nominee,5,0021622,6.2,1534.0,108.0,[' Drama'],['USA'],,
Bad Girl,1931,Nominee,5,0021635,6.5,1104.0,90.0,"[' Drama', ' Romance']",['USA'],,
The Champ,1931,Nominee,5,0021730,7.3,2813.0,86.0,"[' Drama', ' Sport']",['USA'],,
Five Star Final,1931,Nominee,5,0021873,7.2,1807.0,89.0,"[' Crime', ' Drama']",['USA'],,
One Hour with You,1931,Nominee,5,0023303,7.2,2131.0,78.0,"[' Comedy', ' Musical', ' Romance']",['USA'],,
Shanghai Express,1931,Nominee,5,0023458,7.3,7539.0,82.0,"[' Adventure', ' Drama', ' Romance', ' Thriller']",['USA'],,
The Smiling Lieutenant,1931,Nominee,5,0022074,7.2,3282.0,93.0,"[' Comedy', ' Romance', ' Musical']",['USA'],,
Cavalcade,1932,Winner,6,0023876,5.8,4575.0,112.0,"[' Drama', ' Romance', ' War']",['USA'],1180280.0,
42nd Street,1932,Nominee,6,0024034,7.4,10725.0,89.0,"[' Comedy', ' Musical', ' Romance']",['USA'],439000.0,1600.0
